,repo,lang,metric,overall_mean,overall_median,comment_mean,comment_median,non_comment_mean,non_comment_median,cliffs_delta,mannwhitneyu_p,n_comment,n_non_comment,n_total
0,ComfyUI,py,mccabe,2.954362906170135,2.0,4.412291933418694,3.0,2.372829417773238,2.0,0.3474030177910251,4.554705293024709e-50,781,1958,2739
1,ComfyUI,py,fanout,6.9163928441036875,4.0,11.59539052496799,9.0,5.050051072522983,3.0,0.5099790870770169,2.402677502855122e-97,781,1958,2739
2,ComfyUI,py,chars,720.5323110624315,437.0,1142.8591549295775,762.0,552.0760980592441,367.0,0.4098991759078942,3.8878833844525833e-63,781,1958,2739
3,ComfyUI,py,identifiers,43.17962760131435,27.0,73.69398207426376,56.0,31.008171603677223,21.0,0.5152164729485652,1.045585804470466e-98,781,1958,2739
4,ComfyUI,py,halstead,219.83120887761797,106.27403387250882,414.1069103034816,271.02858762331766,142.3392156122454,76.07820003461549,0.5373012520288413,3.5102190084424996e-107,781,1958,2739
5,ComfyUI,py,entropy,4.316557471159451,4.3411306152519185,4.747826925765339,4.794516176158984,4.144534261738002,4.187515979273467,0.5593127901030475,6.393005221379059e-116,781,1958,2739
6,TypeScript,ts,mccabe,3.05540780141844,2.0,3.717100371747212,2.0,2.0784851811196488,2.0,0.2955263834423547,4.810269888280889e-68,2690,1822,4512
7,TypeScript,ts,fanout,6.733156028368795,4.0,8.523791821561339,5.0,4.089462129527991,3.0,0.25528729816085105,1.6202117963534444e-48,2690,1822,4512
8,TypeScript,ts,chars,741.332890070922,385.0,964.37843866171,504.0,412.0285400658617,288.5,0.33954945543726206,1.1114103770491656e-83,2690,1822,4512
9,TypeScript,ts,identifiers,39.04100177304964,22.0,49.6814126394052,28.0,23.331503841931944,17.0,0.3225482434842222,9.981628705809698e-76,2690,1822,4512
10,TypeScript,ts,halstead,327.05428393858034,147.14866228501222,435.0583120238479,194.4867642699313,167.597184295677,105.89387255891279,0.3216294851443938,2.826979138558737e-75,2690,1822,4512
11,TypeScript,ts,entropy,4.436094523801735,4.427199426750468,4.5713848193449085,4.579494061243812,4.236351990864776,4.251732787630351,0.3369080507143178,2.0583357873710504e-82,2690,1822,4512
12,alacritty,rs,mccabe,2.084306095979248,1.0,2.6651162790697676,2.0,1.3519061583577712,1.0,0.45495464775284733,9.155762311583923e-33,430,341,771
13,alacritty,rs,fanout,7.776913099870298,5.0,10.388372093023255,7.0,4.483870967741935,3.0,0.48013366978108163,1.3786153280963354e-30,430,341,771
14,alacritty,rs,chars,533.8002594033723,309.0,718.5279069767441,502.0,300.8592375366569,199.0,0.5041055718475074,2.3777010305514528e-33,430,341,771
15,alacritty,rs,identifiers,36.78988326848249,23.0,48.86279069767442,33.0,21.565982404692082,15.0,0.486612562231467,3.3333780865464333e-31,430,341,771
16,alacritty,rs,halstead,341.48590137591793,164.2332676057198,478.9129573394989,291.6868049043081,168.19078681773667,98.09910819000814,0.5208961331241901,1.7087367531754304e-35,430,341,771
17,alacritty,rs,entropy,4.42635477319615,4.470265111158349,4.65114344684461,4.691074326124657,4.142896914929764,4.119554161607971,0.511525608674896,2.7399603031908457e-34,430,341,771
18,angular,ts,mccabe,2.4327887981330223,2.0,2.9835993877104747,2.0,1.8026019514635978,1.0,0.3327306326016106,3.4151765216752086e-172,4573,3997,8570
19,angular,ts,fanout,4.262077012835473,3.0,5.447190028427728,4.0,2.9061796347260445,2.0,0.31981256880775605,1.575945911575563e-146,4573,3997,8570
20,angular,ts,chars,460.29439906651106,282.5,606.5982943363219,416.0,292.90693019764825,199.0,0.4252601762714995,1.3459700537783554e-253,4573,3997,8570
21,angular,ts,identifiers,27.858343057176196,18.0,36.45221954952985,25.0,18.026019514635976,13.0,0.40920959689808906,4.002648232409744e-235,4573,3997,8570
22,angular,ts,halstead,202.44690016655767,104.0,278.85003099117165,159.91133951083242,115.0334607717717,68.11428751370197,0.4092895278281366,4.4849105992646224e-235,4573,3997,8570
23,angular,ts,entropy,4.2772010333709245,4.352179011191206,4.544456629683549,4.585133144317754,3.97143174592093,4.105741415355962,0.45027292227316124,4.743149973737165e-284,4573,3997,8570
24,ansible,py,mccabe,4.320458265139116,3.0,5.232044198895028,4.0,2.6146616541353382,2.0,0.39329473231043455,8.072349635030328e-74,1991,1064,3055
25,ansible,py,fanout,8.364320785597382,5.0,10.304369663485685,7.0,4.734022556390977,3.0,0.39324280691684005,2.3158549600104937e-72,1991,1064,3055
26,ansible,py,chars,827.6929623567921,472.0,1043.8950276243095,630.0,423.1268796992481,296.5,0.4469388564328954,2.4351273091714364e-92,1991,1064,3055
27,ansible,py,identifiers,42.18003273322422,27.0,52.06027122049222,35.0,23.69172932330827,18.0,0.4199876889612278,8.69208193724994e-82,1991,1064,3055
28,ansible,py,halstead,219.6686893352491,111.01319154423277,283.34721745304404,154.28722505336555,100.51084207723244,66.5881699784141,0.4333490368311537,6.330874574374262e-87,1991,1064,3055
29,ansible,py,entropy,4.552579310281413,4.5779670599506455,4.7441051459971,4.774230893074625,4.194188390253278,4.229327351940022,0.539519472966696,1.1583715575735679e-133,1991,1064,3055
30,beam,java,mccabe,1.8892481335606373,1.0,2.224695755417038,2.0,1.6692300204419352,1.0,0.17276177221456493,1.9895929348399203e-98,6738,10273,17011
31,beam,java,fanout,7.1383222620657225,4.0,9.191006233303652,6.0,5.79197897400954,4.0,0.23125442993109135,6.740441105510765e-145,6738,10273,17011
32,beam,java,chars,470.3072717653283,292.0,608.0522410210745,374.5,379.96116032317724,252.0,0.2367781644801288,7.564392742257111e-151,6738,10273,17011
