,repo,lang,metric,overall_mean,overall_median,comment_mean,comment_median,non_comment_mean,non_comment_median,cliffs_delta,mannwhitneyu_p,n_comment,n_non_comment,n_total
155,n8n,ts,entropy,4.588921185955235,4.703647686078845,4.9117485110405426,4.938565015198987,4.404647786930625,4.505659338026092,0.4440233908786678,4.8886241416340944e-229,2773,4858,7631
156,nest,ts,mccabe,1.6599348534201954,1.0,2.07421875,2.0,1.577013291634089,1.0,0.17214987294761533,7.131797393243143e-07,256,1279,1535
157,nest,ts,fanout,3.4273615635179153,3.0,4.81640625,3.0,3.1493354182955433,2.0,0.2590799697028929,3.8071841141264917e-11,256,1279,1535
158,nest,ts,chars,324.3211726384365,234.0,458.60546875,369.0,297.443315089914,212.0,0.3214089376465989,4.369174366804468e-16,256,1279,1535
159,nest,ts,identifiers,18.492508143322475,14.0,24.96875,17.5,17.196247068021894,13.0,0.26742389073494915,1.3167215003040063e-11,256,1279,1535
160,nest,ts,halstead,118.52725166740426,72.64806399138324,175.0432571879418,117.20671786825557,107.21521303311373,68.11428751370197,0.2665229182955434,1.5815703518044064e-11,256,1279,1535
161,nest,ts,entropy,4.100949434556755,4.181127542695028,4.38779790924187,4.431015916653774,4.043534884502501,4.150292659616667,0.30784853889757624,6.971318568042892e-15,256,1279,1535
162,opencv,cpp,mccabe,3.714906339047975,2.0,6.056603773584905,4.0,2.4996097353295963,1.0,0.4742246614790871,0.0,7314,14093,21407
163,opencv,cpp,fanout,8.889428691549494,3.0,15.497812414547443,8.0,5.459802738948414,2.0,0.4536790849162254,0.0,7314,14093,21407
164,opencv,cpp,chars,722.4360723127949,286.0,1301.5079299972656,733.0,421.9087490243383,184.0,0.5218360005154244,0.0,7314,14093,21407
165,opencv,cpp,identifiers,52.44569533330219,21.0,91.43505605687722,52.0,32.210955793656424,14.0,0.48663965131350106,0.0,7314,14093,21407
166,opencv,cpp,halstead,443.2942082411457,118.53642239625984,836.8155115930318,378.08006740686994,239.06410728920528,60.94436251225965,0.5003867527055372,0.0,7314,14093,21407
